Episode,average_time,average_energy,average_time_local,average_energy_local,average_time_edge,average_energy_edge,average_time_random,average_energy_random
0,1.1351220036285006,0.2908835511076341,0.04951922625369208,0.1379237338807474,0.3857329618198642,0.02686316586623508,0.29624125895752224,0.054232487202010425
1,0.6677245833100902,0.38657412447912276,0.049343155953093146,0.1356684616700373,0.4087466704101287,0.02917157183293501,0.3151130164524339,0.05435858021081599
2,1.178995696649298,0.2961310151674758,0.04927904483790556,0.13666239519621493,0.3771231515134302,0.02718387627247667,0.2871951375822713,0.055806840969890796
3,1.1526307988511029,0.2968414010894647,0.048632315065921944,0.13475593471493458,0.3914389490528502,0.02802561106164205,0.3020287682949852,0.05400109418695617
4,1.1873422750862204,0.310744970041579,0.05090699091926598,0.13946284468674983,0.3802357523061085,0.02911540832138486,0.3035759537193373,0.05609541059092011
5,1.4445466908132518,0.31526301664415246,0.05013717554533269,0.13925314096228897,0.39831437550430987,0.027029908705583958,0.3084289402848427,0.055219449837620914
6,1.3016377920048252,0.3003909762997707,0.05128621521910673,0.1430019335926096,0.4154740678349569,0.028552802708181172,0.30142621285790355,0.0585499449863956
7,1.2241728570653678,0.294526071136429,0.04973052033049793,0.13847204071108157,0.4142259490379042,0.028301190204182307,0.31621123230390713,0.055474069743539176
8,0.676915919295917,0.3825654092213326,0.049432024003059884,0.13826218643771493,0.3836978297955014,0.027735267894175814,0.2973850623627554,0.055012937267504815
9,1.1973282637342022,0.28854391780006217,0.047365555112494934,0.13144302371148814,0.4115773737901711,0.026866892362152308,0.3200758243524593,0.052425554549325945
